OG 00

Wohnung 001

112.02	Bad
112.03	Küche
112.04	Wohnen
112.05	Zimmer
112.06	Zimmer

Wohnung 113

113.01	Korridor
113.02	Bad
113.03	Küche
113.04	Wohnen
113.05	Zimmer

Wohnung 114

114.01	Korridor
114.02	Bad
114.03	Küche
114.04	Wohnen
114.05	Zimmer

OG 12

Wohnung 121

121.01	Korridor
121.02	Bad
121.03	Küche
121.04	Wohnen
121.05	Zimmer
121.06	Zimmer

Wohnung 122

122.01	Korridor
122.02	Bad
122.03	Küche
122.04	Wohnen
122.05	Zimmer
122.06	Zimmer

Wohnung 123

123.01	Korridor
123.02	Bad
123.03	Küche
123.04	Wohnen
123.05	Zimmer

Wohnung 124

124.01	Korridor
124.02	Bad
124.03	Küche
124.04	Wohnen
124.05	Zimmer

OG 13

Wohnung 131

131.01	Korridor
131.02	Bad
131.03	Küche
131.04	Wohnen
131.05	Zimmer
131.06	Zimmer

Wohnung 132

132.01	Korridor
132.02	Bad
132.03	Küche
132.04	Wohnen
132.05	Zimmer
132.06	Zimmer

Wohnung 133

133.01	Korridor
133.02	Bad
133.03	Küche
133.04	Wohnen
133.05	Zimmer

Wohnung 134

134.01	Korridor
134.02	Bad
134.03	Küche
134.04	Wohnen
134.05	Zimmer

OG 14

Wohnung 141

141.01	Korridor
141.02	Bad
141.03	Küche
141.04	Wohnen
141.05	Zimmer
141.06	Zimmer

Wohnung 142

142.01	Korridor
142.02	Bad
142.03	Küche
142.04	Wohnen
142.05	Zimmer
142.06	Zimmer

Wohnung 143

143.01	Korridor
143.02	Bad
143.03	Küche
143.04	Wohnen
143.05	Zimmer

Wohnung 144

144.01	Korridor
144.02	Bad
144.03	Küche
144.04	Wohnen
144.05	Zimmer

